figure_id,chapter,chapter_title,working_title,purpose,type,source_path,dataset_ids,ebook_path,caption,alt_text,status
fig-27-01,27,From Statistical Reasoning to Machine Learning,Statistical reasoning to machine learning,"A four-stage continuum connects description, inference, prediction, and cost-aware decisions.",continuum diagram,publication/figures/source/fig-27-01.py,nrg-ch27-sample,publication/figures/ebook/fig-27-01.png,Machine learning extends statistical reasoning toward unseen-case prediction and operational decisions.,Four connected boxes progress from describing events through inference and prediction to decisions under costs.,generated
fig-27-02,27,From Statistical Reasoning to Machine Learning,Baseline and flexible model performance,Test-set mean absolute error compares a constant baseline with a simple learned model for demand and transit examples.,comparison chart,publication/figures/source/fig-27-02.py,nrg-ch27-sample,publication/figures/ebook/fig-27-02.png,A learned model earns added complexity only through useful improvement on unseen observations.,Paired bars show lower test mean absolute error for learned models than simple baselines in demand and transit examples.,generated
fig-28-01,28,"Explanation, Inference, Prediction, and Decisions","Explanation, inference, prediction, and decision","Four panels separate analytical purposes by question, output, and central evidence.",four-quadrant map,publication/figures/source/fig-28-01.py,nrg-ch28-sample,publication/figures/ebook/fig-28-01.png,"Shared data can support explanation, inference, prediction, or decisions, but each purpose requires a different target and standard of evidence.","Four labeled panels pair explanation with causal assumptions, inference with uncertainty, prediction with future-case performance, and decisions with costs and constraints.",generated
fig-28-02,28,"Explanation, Inference, Prediction, and Decisions",Accuracy versus decision value,Expected loss curves cross at the cost-implied expedite threshold of 0.15.,cost curve,publication/figures/source/fig-28-02.py,nrg-ch28-sample,publication/figures/ebook/fig-28-02.png,"With expedite cost 12 and late loss 80, the lower-loss action changes above a predicted late probability of 0.15.","Line chart compares constant expedite loss of 12 with standard-plan expected loss 80p; they cross at p equals 0.15, with shipment examples colored by recommended action.",generated
fig-29-01,29,Defining a Useful Analytical Problem,"Decision, outcome, unit, horizon, and action",A six-part canvas turns NRG's broad return concern into a decision-ready analytical specification.,problem canvas,publication/figures/source/fig-29-01.py,nrg-ch29-sample,publication/figures/ebook/fig-29-01.png,"A useful analytical problem names the decision, unit, outcome, use time, available action, and measurable success before selecting a model.","Six boxes define inspection allocation, one retail order, a 30-day damage return, scoring two hours before dispatch, available actions, and operational success.",generated
fig-29-02,29,Defining a Useful Analytical Problem,When an analytical problem is worthwhile,Sensitivity curves show how event rate and preventable fraction determine the upper-bound monthly value.,value-sensitivity chart,publication/figures/source/fig-29-02.py,nrg-ch29-sample,publication/figures/ebook/fig-29-02.png,"For 20,000 eligible orders and 30 value units per prevented return, plausible value changes sharply with return rate and preventability; the chapter example equals 3,000.","Three rising lines compare 10, 25, and 40 percent preventability across one, two, and four percent damage-return rates; a red point marks the chapter's 3,000-unit example.",generated
fig-30-01,30,"Provenance, Acquisition, and Data Quality",Source to decision with transformations,"A six-stage lineage follows data creation, storage, extraction, transformation, integration, and analytical use.",lineage diagram,publication/figures/source/fig-30-01.py,nrg-ch30-sample,publication/figures/ebook/fig-30-01.png,"Trustworthy provenance records definitions, filters, mappings, joins, versions, and hashes, not only where data moved.","Six connected stages show a gate scan moving through TMS storage, versioned extraction, UTC and route transformation, reconciled integration, and a hashed analytical snapshot.",generated
fig-30-02,30,"Provenance, Acquisition, and Data Quality","Completeness, validity, freshness, and reconciliation","Four bars compare duplicate, missingness, and timestamp-order problems at overall and subgroup scopes.",quality dashboard,publication/figures/source/fig-30-02.py,nrg-ch30-sample,publication/figures/ebook/fig-30-02.png,"Four percent overall temperature missingness passes a five-percent threshold, while 31 percent at one warehouse-period reveals a concentrated failure.","Bar chart shows 1.8 percent duplicate IDs, 4 percent overall missing temperature, 31 percent affected-warehouse missing temperature, and 0.12 percent timestamp-order violations.",generated
fig-31-01,31,"Cleaning, Transformation, and Reproducible Pipelines",Raw data to reproducible analysis table,"Six connected stages move a protected raw snapshot through validation, standardisation, parsing, revision resolution, and quality-gated publication.",pipeline diagram,publication/figures/source/fig-31-01.py,nrg-ch31-sample,publication/figures/ebook/fig-31-01.png,A reliable cleaning pipeline preserves raw evidence and makes every ordered transformation regenerable and testable.,"Flow diagram connects raw hashed data to schema validation, controlled standardisation, quantity and date parsing, revision resolution, and a published hashed dataset.",generated
fig-31-02,31,"Cleaning, Transformation, and Reproducible Pipelines",Cleaning effects without hiding changes,Before-and-after row counts and logged affected-value counts expose the effects of each cleaning stage.,before-after plots,publication/figures/source/fig-31-02.py,nrg-ch31-sample,publication/figures/ebook/fig-31-02.png,"Selecting final revisions reduces 10,240 rows to 9,870 while the transformation ledger keeps parsing, mapping, and removal effects visible.","Two panels compare raw and final row counts and show affected values for identifier standardisation, quantity parsing, city mapping, date parsing, and revision selection.",generated
fig-32-01,32,Feature Engineering,Prediction-time feature availability,A timeline separates features available before Monday 06:00 from outcomes and revisions created later.,time-boundary diagram,publication/figures/source/fig-32-01.py,nrg-ch32-sample,publication/figures/ebook/fig-32-01.png,"Feature eligibility is determined by reliable availability at the forecast origin, not by whether a field exists in historical data.","Timeline places prior demand, planned promotion, and stock before Monday 06:00; final shipments, returns, and revised promotion labels appear afterward as leakage.",generated
fig-32-02,32,Feature Engineering,"Numeric, categorical, temporal, and aggregate features","Four panels map enterprise inputs into numeric, categorical, temporal, and historical feature groups.",feature map,publication/figures/source/fig-32-02.py,nrg-ch32-sample,publication/figures/ebook/fig-32-02.png,"Purposeful features express mechanisms while retaining timing, units, fitted state, missing policy, and production consistency.","Four boxes give examples: numeric ratios and logs, warehouse indicators, cyclic calendar values, and lagged or trailing demand.",generated
fig-33-01,33,"Training, Validation, Testing, and Cross-validation","Random, grouped, and temporal evaluation",Compare split structures against deployment,split diagrams,publication/figures/source/fig-33-01.py,nrg-ch33-sample,publication/figures/ebook/fig-33-01.png,Figure 33.1. Random row splits require exchangeable observations; grouped splits keep dependent records together; temporal splits preserve the direction from past training data to future evaluation.,"Three panels compare random colored row assignments, complete order groups assigned together, and a timeline with training before validation. Notes identify the deployment condition each split represents.",generated
fig-33-02,33,"Training, Validation, Testing, and Cross-validation","Train, validation, and test boundaries","Show expanding windows, maturity gaps, and final test isolation",timeline,publication/figures/source/fig-33-02.py,nrg-ch33-sample,publication/figures/ebook/fig-33-02.png,Figure 33.2. Four expanding-window folds support model selection while a 30-day outcome-maturity gap separates each training period from evaluation. The latest three months remain an untouched final test.,"Five horizontal calendar bars show expanding blue training periods, hatched 30-day gaps, four gold validation windows, and a red January-to-March 2026 final test period.",generated
fig-34-01,34,"Underfitting, Overfitting, Bias, and Variance",Underfitting and overfitting,Show training and validation losses across model complexity,validation curves,publication/figures/source/fig-34-01.py,nrg-ch34-sample,publication/figures/ebook/fig-34-01.png,"Figure 34.1. Training error falls as polynomial degree increases, but validation error is high for the rigid degree-1 model and rises sharply for degree 12. Relevant unseen-data performance, not training fit alone, guides selection.","Line chart of training and validation mean squared error for polynomial degrees 1, 3, 6, and 12. Degree 1 has high losses on both sets; degree 12 has near-zero training loss but validation MSE of 480.",generated
fig-34-02,34,"Underfitting, Overfitting, Bias, and Variance",Data size and generalisation gap,Contrast learning-curve signatures and remedies,learning curves,publication/figures/source/fig-34-02.py,nrg-ch34-sample,publication/figures/ebook/fig-34-02.png,Figure 34.2. In the high-bias pattern training and validation losses converge at a poor level. In the high-variance pattern the validation gap narrows as representative training data increase.,Two learning-curve panels. High bias shows training and validation MSE converging near a high plateau; high variance shows low training MSE and initially high validation MSE whose gap narrows with larger samples.,generated
fig-35-01,35,"Baselines, Metrics, Imbalance, and Error Costs",Classification outcomes and error costs,Connect confusion counts to operational error types,confusion matrix,publication/figures/source/fig-35-01.py,nrg-ch35-sample,publication/figures/ebook/fig-35-01.png,Figure 35.1. At the illustrated threshold the model correctly alerts 60 of 80 late shipments but misses 20 and creates 90 false alerts. Confusion counts expose workload and consequences that accuracy alone hides.,"A two-by-two confusion matrix shows 60 true positives, 20 false negatives, 90 false positives, and 830 true negatives for 1,000 shipments.",generated
fig-35-02,35,"Baselines, Metrics, Imbalance, and Error Costs","Precision, recall, workload, and threshold",Show how threshold choice changes metrics and capacity,metric curves,publication/figures/source/fig-35-02.py,nrg-ch35-sample,publication/figures/ebook/fig-35-02.png,"Figure 35.2. Raising the alert threshold trades recall for higher precision and lower workload. A threshold of 0.60 produces 98 alerts and 72.5% recall, satisfying the illustrative limits of 100 alerts and 70% recall.",Two panels plot precision and recall plus alert count across thresholds from 0.30 to 0.80. Dashed lines show minimum recall and maximum workload; threshold 0.60 is marked feasible.,generated
fig-36-01,36,Linear and Logistic Regression for Prediction,Linear prediction and residuals,Connect numeric predictions to signed residuals,regression plots,publication/figures/source/fig-36-01.py,nrg-ch36-sample,publication/figures/ebook/fig-36-01.png,Figure 36.1. Linear regression predicts delivery hours directly. Vertical distances between observed and predicted values are signed residuals that should be inspected against fitted values and operational groups.,"Two panels show observed versus predicted delivery hours with vertical residual lines, and signed residuals around zero against fitted hours.",generated
fig-36-02,36,Linear and Logistic Regression for Prediction,"Scores, probabilities, odds, and threshold",Show conversion from linear score to probability and alert decision,logistic curve,publication/figures/source/fig-36-02.py,nrg-ch36-sample,publication/figures/ebook/fig-36-02.png,Figure 36.2. The logistic function maps an unrestricted linear predictor to a probability between zero and one. A 0.60 decision threshold corresponds to log odds of approximately 0.41.,"An S-shaped logistic curve maps scores from minus four to four into late probabilities. Sample shipments lie on the curve; dashed lines identify probability 0.60 and its score cutoff near 0.41, with the alert region shaded.",generated
fig-37-01,37,"Trees, Random Forests, and Gradient Boosting",A constrained decision tree,Show threshold questions and interaction paths,tree diagram,publication/figures/source/fig-37-01.py,nrg-ch37-sample,publication/figures/ebook/fig-37-01.png,"Figure 37.1. A constrained tree partitions shipments through waiting-time, distance, and refrigeration questions. Each path ends in a supported leaf probability rather than an unrestricted sequence of tiny leaves.","A depth-two decision tree first asks whether port waiting exceeds nine hours, then asks about route distance or refrigeration, ending in four leaves labelled 12%, 31%, 58%, and 76% late.",generated
fig-37-02,37,"Trees, Random Forests, and Gradient Boosting","Tree, random forest, and gradient boosting",Compare validation value with inference complexity,ensemble comparison,publication/figures/source/fig-37-02.py,nrg-ch37-sample,publication/figures/ebook/fig-37-02.png,Figure 37.2. Tree ensembles reduce illustrative validation cost relative to simpler approaches but require more inference time. The selected forest stays within alert capacity and offers a measured value-complexity compromise.,"A bar chart compares expected daily cost for a current rule, logistic model, tree, random forest, and gradient boosting. A scatter plot relates the same costs to inference latency, showing ensembles at lower cost but higher latency.",generated
fig-38-01,38,"Support Vector Machines, Nearest Neighbours, and Kernel Methods","Neighbours, margins, and kernels",Explain three geometric views of the same scaled shipment data,geometry plots,publication/figures/source/fig-38-01.py,nrg-ch38-sample,publication/figures/ebook/fig-38-01.png,Figure 38.1. Nearest neighbours connect a query to local cases; an SVM places a nonlinear boundary and margins; an RBF kernel assigns smoothly decreasing similarity with distance. All three views depend on the scaled representation.,"Three panels show concentric ordinary and late shipment points. The first connects a gold query star to its five nearest points; the second shows an SVM boundary, two margins, and circled support vectors; the third shades RBF similarity around the query.",generated
fig-38-02,38,"Support Vector Machines, Nearest Neighbours, and Kernel Methods","KNN, linear SVM, and RBF SVM",Compare local linear and kernel boundaries on identical scaled features,decision boundaries,publication/figures/source/fig-38-02.py,nrg-ch38-sample,publication/figures/ebook/fig-38-02.png,Figure 38.2. Distance-weighted KNN and an RBF SVM adapt to the nonlinear ring pattern while a linear SVM cannot separate the inner and outer groups. Method choice changes the boundary even when the scaled training data are identical.,"Three panels compare decision regions for five-neighbour KNN, a linear SVM, and an RBF SVM. Blue circles form an inner ordinary ring and red triangles form an outer late ring; only the nonlinear methods closely follow the circular separation.",generated
fig-39-01,39,Clustering and Segmentation,Segments and centroids,Show how scaled representation creates a centroid-based partition,cluster plot,publication/figures/source/fig-39-01.py,nrg-ch39-sample,publication/figures/ebook/fig-39-01.png,Figure 39.1. The released partition groups distributors by scaled ordering frequency and broad product mix. Gold crosses mark numerical centroids; neutral names describe patterns without claiming that the groups are natural or permanent.,"A scatter plot shows 120 distributors in three compact groups: steady bulk at upper left, frequent broad mix at upper right, and campaign specialist below. Each group has a gold centroid cross and a dashed comparison circle.",generated
fig-39-02,39,Clustering and Segmentation,Candidate cluster counts and stability,Compare internal geometry with perturbation stability and minimum viable size,diagnostic chart,publication/figures/source/fig-39-02.py,nrg-ch39-sample,publication/figures/ebook/fig-39-02.png,Figure 39.2. Inertia declines as more clusters are added while silhouette quality stability and minimum segment size tell different parts of the story. The marked three-cluster solution is a review candidate rather than an automatic truth.,Two panels compare candidate k values from two through six. The first plots relative inertia and mean silhouette; the second plots perturbation stability and smallest-segment share. A dashed line marks k equals three for governed review.,generated
fig-40-01,40,Dimensionality Reduction and Representation,Original features to principal components,Show how scores locate products while loadings connect new coordinates to original inputs,projection and loading diagram,publication/figures/source/fig-40-01.py,nrg-ch40-sample,publication/figures/ebook/fig-40-01.png,Figure 40.1. Six standardized portfolio measurements become two principal-component coordinates. Scores locate products and loading arrows describe feature contributions; the scaler and directions are fitted on training products only.,"Two panels show a PCA product representation. The left scatters 180 training and 60 test products by their first two component scores. The right shows six loading arrows for volume, orders, stockouts, margin, promotion, and lead time.",generated
fig-40-02,40,Dimensionality Reduction and Representation,Explained variance and reconstruction trade-off,Compare retained input variance with training and test reconstruction error across component counts,scree and reconstruction chart,publication/figures/source/fig-40-02.py,nrg-ch40-sample,publication/figures/ebook/fig-40-02.png,Figure 40.2. Cumulative training variance rises and reconstruction error falls as components are added. The 90 percent line and marked two-component view are review aids rather than universal selection rules.,Two panels compare one through six principal components. Bars and a cumulative line show training variance retained beside a 90 percent guide. Training and test reconstruction errors fall toward zero as components are added; two components are marked for review.,generated
fig-41-01,41,Anomaly Detection,"Point, contextual, and collective anomalies",Distinguish a single extreme batch from a context-specific deviation and a jointly unusual episode,anomaly panels,publication/figures/source/fig-41-01.py,nrg-ch41-sample,publication/figures/ebook/fig-41-01.png,Figure 41.1. An anomaly can be unusual alone unusual only within its product context or unusual because several consecutive batches form an episode. Each case requires investigation rather than an automatic defect conclusion.,"Three panels illustrate anomaly types in sauce batches: one extreme fill weight, a sauce A pH that resembles sauce B but is unusual for its own family, and three consecutive elevated-viscosity batches highlighted as an episode.",generated
fig-41-02,41,Anomaly Detection,"Scores, capacity, and investigation threshold",Connect descending model scores with a five-case queue and the resulting precision at capacity,queue chart,publication/figures/source/fig-41-02.py,nrg-ch41-sample,publication/figures/ebook/fig-41-02.png,Figure 41.2. Isolation scores order investigation evidence but do not represent defect probabilities. A five-case capacity boundary creates the actionable queue and its confirmed yield is evaluated with Precision@5.,Two panels show the top 20 monitoring batches. Ranked isolation scores are coloured red for confirmed relevant cases with a dashed boundary after rank five; a second plot shows confirmed precision as investigation capacity expands.,generated
fig-42-01,42,Time-Series Analysis and Forecasting,"Trend, seasonality, noise, and events",Separate the observed weekly series into interpretable structural and irregular contributions,time-series decomposition,publication/figures/source/fig-42-01.py,nrg-ch42-sample,publication/figures/ebook/fig-42-01.png,Figure 42.1. Weekly shipments combine a rising level annual seasonality irregular variation and known event adjustments. Plotting these structures first prevents a forecasting method from being chosen without understanding the calendar and data-generating context.,"Two aligned time-series panels cover 156 weeks. The upper panel plots observed cases, a dashed rising trend, and marked event weeks. The lower panel separates annual seasonality, irregular variation, and positive or negative event adjustments.",generated
fig-42-02,42,Time-Series Analysis and Forecasting,Rolling-origin predictions with uncertainty,Show repeated historical forecast vintages and the final origin's point forecast and interval,forecast plot,publication/figures/source/fig-42-02.py,nrg-ch42-sample,publication/figures/ebook/fig-42-02.png,Figure 42.2. Rolling origins repeat the operational task using only information available at issuance. The final week-130 seasonal-naive vintage illustrates serious interval miscalibration: only 3 of 26 holdout outcomes fall inside its nominal 80 percent interval.,"The left panel overlays actual weekly demand with four differently coloured 13-week seasonal-naive forecast vintages. The right panel shows the final 26-week forecast and shaded nominal 80 percent interval, with most actual outcomes above the band and coverage marked as 3 of 26.",generated
fig-43-01,43,Recommendation and Ranking,Candidate generation to reranking,Show retrieval scoring hard eligibility rules and diversity-aware reranking as one auditable pipeline,recommendation pipeline,publication/figures/source/fig-43-01.py,nrg-ch43-sample,publication/figures/ebook/fig-43-01.png,Figure 43.1. A recommender retrieves unseen candidates scores compatibility applies non-negotiable stock and market rules and reranks the eligible set for display. Logging must preserve exclusions positions exposures and later outcomes.,"A five-stage horizontal pipeline for distributor D43-002 moves from a 12-product catalogue through unseen retrieval, popularity and latent scoring, stock and market rules, and a five-product diversity-aware display list.",generated
fig-43-02,43,Recommendation and Ranking,Popularity and latent-factor recommendations,Compare top-five offline relevance and an example distributor's differently ordered lists,ranking comparison,publication/figures/source/fig-43-02.py,nrg-ch43-sample,publication/figures/ebook/fig-43-02.png,Figure 43.2. Popularity and three-factor rankings are compared on 72 later held-out choices using Precision@5 Recall@5 and NDCG@5. Different top-five lists for one distributor illustrate that method scores are not directly comparable.,"The left panel groups bars for popularity and latent-factor Precision@5, Recall@5, and NDCG@5. The right panel shows product labels for the two differently ordered top-five lists produced for distributor D43-002.",generated
fig-44-01,44,Text Data and Introductory Natural Language Processing,Governed text-to-routing pipeline,Show privacy controls safe splitting training-only representation classification and confidence-based review as one operational flow,NLP pipeline,publication/figures/source/fig-44-01.py,nrg-ch44-sample,publication/figures/ebook/fig-44-01.png,Figure 44.1. A governed routing pipeline preserves and redacts raw text groups the chronological split by conversation fits TF-IDF only on 256 training messages and routes or reviews later messages according to model confidence. The illustrative 0.68 threshold sends 26 of 64 test messages to review.,"A five-stage horizontal pipeline moves from governed text through a conversation-grouped chronological split, training-only TF-IDF representation, a four-route linear classifier, and confidence-based routing or human review. A red note lists the decisions and outcomes to log.",generated
fig-44-02,44,Text Data and Introductory Natural Language Processing,Terms associated with message routes,Compare the largest positive one-versus-rest coefficients for service quality finance and sales routes,coefficient chart,publication/figures/source/fig-44-02.py,nrg-ch44-sample,publication/figures/ebook/fig-44-02.png,Figure 44.2. The five largest positive one-versus-rest coefficients for each route expose associations learned by the four-class training-only TF-IDF baseline. Coefficients describe this fitted model rather than causal reasons for routing.,"Four horizontal bar charts show the top five positive TF-IDF coefficients for service, quality, finance, and sales. Terms include multilingual route signals, and a note warns that model associations are not causal explanations.",generated
fig-45-01,45,Survival and Time-to-Event Analysis,"Events, censoring, and delayed entry",Show when records join and leave a risk set and distinguish observed events from right censoring,risk-set timeline,publication/figures/source/fig-45-01.py,nrg-ch45-sample,publication/figures/ebook/fig-45-01.png,Figure 45.1. Six distributor timelines show entry into the observable risk set followed by either observed churn or administrative right censoring. Delayed entrants contribute no person-time before their entry month and censoring ends observation without creating a survival-curve drop.,"Six horizontal distributor timelines begin at months zero, three, or six. Teal triangles mark entry, red crosses mark observed churn, gold vertical marks show right censoring, and a dashed line marks the 12-month decision horizon.",generated
fig-45-02,45,Survival and Time-to-Event Analysis,Kaplan-Meier comparison and uncertainty,Compare unadjusted programme groups with confidence intervals horizon summaries and follow-up support,survival curves,publication/figures/source/fig-45-02.py,nrg-ch45-sample,publication/figures/ebook/fig-45-02.png,Figure 45.2. Kaplan-Meier curves with 95% log-log intervals compare 120 standard and 120 enhanced-programme distributors. At 24 months estimated churn-free survival is 0.368 versus 0.585 and restricted mean survival is 14.92 versus 18.36 months. Numbers at risk expose diminishing support; this synthetic observational contrast is not a causal estimate.,"Two descending step curves compare standard and enhanced retention programmes with shaded confidence bands. Text reports 24-month survival and restricted mean survival through 24 months, while a table lists numbers at risk at six-month intervals.",generated
fig-46-01,46,Introductory Causal Inference,Causal roles determine adjustment,Distinguish a confounder mediator and collider and show how each changes an adjustment decision,causal graph,publication/figures/source/fig-46-01.py,nrg-ch46-sample,publication/figures/ebook/fig-46-01.png,Figure 46.1. Three causal diagrams distinguish prior sales as a confounder to adjust for engagement as a mediator not to adjust for when estimating the total coaching effect and escalation as a collider that can open a spurious association if conditioned on. Graphs encode assumptions rather than prove them.,"Three side-by-side directed graphs show a prior-sales backdoor path into coaching and future sales, engagement on the pathway from coaching to future sales, and escalation receiving arrows from poor service and manager attention. Notes state the corresponding adjustment consequences.",generated
fig-46-02,46,Introductory Causal Inference,Before and after propensity weighting,Show propensity overlap measured-covariate balance and the difference between raw weighted and known synthetic effects,balance plot,publication/figures/source/fig-46-02.py,nrg-ch46-sample,publication/figures/ebook/fig-46-02.png,Figure 46.2. Propensity distributions overlap for 307 coached and 293 uncoached distributors. Inverse-probability weighting reduces absolute standardized differences for prior sales from 0.462 to 0.036 and tenure from 0.309 to 0.004. The raw 14.65-kIDR difference and 6.45-kIDR weighted estimate bracket but do not exactly recover the known eight-kIDR simulation effect.,The left panel overlays coached and uncoached propensity histograms. The right panel connects before-weighting red squares to after-weighting teal circles for prior-sales and tenure standardized differences with a dotted 0.10 guide. A footer compares raw weighted and known synthetic effects.,generated
fig-47-01,47,"Calibration, Comparison, and Explainable AI",Predicted and observed probability,Compare reliability and bin support before and after separately fitted Platt recalibration,reliability diagram,publication/figures/source/fig-47-01.py,nrg-ch47-sample,publication/figures/ebook/fig-47-01.png,Figure 47.1. On the untouched 250-shipment test set Platt recalibration reduces Brier score from 0.199 to 0.190 and eight-bin expected calibration error from 0.113 to 0.069 while preserving the raw ranking. Point area indicates bin count and the lower histogram exposes probability support.,A reliability chart compares gold raw-score squares and teal calibrated circles with the perfect-calibration diagonal; larger markers represent more shipments. A lower overlaid histogram shows raw and calibrated probability-bin counts. Test metrics report improved Brier score and expected calibration error.,generated
fig-47-02,47,"Calibration, Comparison, and Explainable AI",Global importance with validation cautions,Show repeated permutation importance alongside limits on interpretation,importance chart,publication/figures/source/fig-47-02.py,nrg-ch47-sample,publication/figures/ebook/fig-47-02.png,Figure 47.2. Repeated test-set permutation importance measures the increase in calibrated-model Brier score across 30 shuffles. Port congestion and route distance show greater reliance than fragile-product status but the estimates remain specific to this model population and metric and do not establish causality.,A horizontal bar chart with standard-deviation error bars ranks port congestion route distance and fragile-product status by the increase in test Brier score after shuffling. Three adjacent caution cards state that importance is model-specific correlated inputs can substitute and association is not causation.,generated
fig-48-01,48,"Deployment, Drift, Monitoring, and Retraining","Model, service, monitoring, response, and rollback",Connect the prediction path to immutable logs layered monitoring owned response lifecycle states and a compatible rollback target,deployment architecture,publication/figures/source/fig-48-01.py,nrg-ch48-sample,publication/figures/ebook/fig-48-01.png,Figure 48.1. A production decision path connects orders shared features a versioned model an intervention queue and later outcomes. Immutable logs feed layered monitoring and an owned response loop while the registry preserves lifecycle states and a compatible rollback target.,A two-level architecture diagram shows orders passing through shared features a versioned model and an intervention queue to actions and later outcomes. Blue arrows feed immutable logs layered monitoring and an owned-response box. A registry below lists candidate through superseded states and retains a rollback version.,generated
fig-48-02,48,"Deployment, Drift, Monitoring, and Retraining","Quality, drift, latency, labels, and incidents",Connect layered monitoring signals delayed outcome evidence and the owned rollback response,monitoring dashboard,publication/figures/source/fig-48-02.py,nrg-ch48-sample,publication/figures/ebook/fig-48-02.png,Figure 48.2. Across 12 weekly cohorts route-distance PSI rises from 0.030 to a critical 0.310 as missingness latency and errors also breach critical limits in week nine. Incident INC-48-001 triggers rollback in week ten. Label coverage declines for recent cohorts so Brier score is withheld below 80 percent coverage.,Four aligned panels show weekly drift data-quality and latency thresholds declining label-join coverage with available Brier scores and a green amber red alert strip. Week nine is marked as incident detection and week ten as rollback to the previous version.,generated
fig-49-01,49,When Deep Learning Earns Its Cost,When deep learning earns lifecycle cost,Show that every readiness dimension and conservative net value must pass before a bounded pilot,decision gate,publication/figures/source/fig-49-01.py,nrg-ch49-sample,publication/figures/ebook/fig-49-01.png,Figure 49.1. The transfer-CNN proposal passes data baseline operations and governance gates with a weakest score of 0.78 and has positive annual net value of IDR 96.8 million. Any failed gate or nonpositive value routes the programme to blocker repair or the simpler baseline rather than automatic promotion.,A horizontal decision flow moves from a defined decision and strong baseline through four readiness boxes to a positive-net-value check and bounded shadow pilot. A red alternative path sends any failed gate or nonpositive value to repair or retention of the simpler baseline.,generated
fig-49-02,49,When Deep Learning Earns Its Cost,Incremental quality versus total cost,Compare proposal-level gross value with lifecycle cost and show the error reduction needed to break even,value chart,publication/figures/source/fig-49-02.py,nrg-ch49-sample,publication/figures/ebook/fig-49-02.png,Figure 49.2. Three of eight proposals combine positive net value with all readiness scores at or above 0.60. For the manuscript's custom-CNN example a two-percentage-point error reduction creates IDR 180 million in gross value against IDR 237.5 million in lifecycle cost; break-even requires 2.64 percentage points.,The left panel plots eight proposal bubbles against a diagonal where gross incremental value equals lifecycle cost with pilot candidates shown as teal circles. The right panel plots gross value by absolute error reduction with lifecycle cost and the 2.64-percentage-point break-even marked.,generated
fig-50-01,50,From a Linear Model to an Artificial Neuron,A binary neuron from inputs to action,Explain the weighted sum sigmoid probability and separate action threshold with the manuscript's package-risk example,neuron diagram,publication/figures/source/fig-50-01.py,nrg-ch50-sample,publication/figures/ebook/fig-50-01.png,Figure 50.1. Standardized impact of 0.8 and moisture of 0.4 enter a neuron with weights 1.8 and 1.1 and bias -1.4. The weighted sum is 0.48 and its sigmoid is 0.618; a separate 0.50 threshold turns that probability into an inspection action.,Two input boxes for standardized impact and moisture feed a weighted-sum box labeled with weights 1.8 and 1.1 and bias -1.4. The sum of 0.48 passes through a sigmoid to produce probability 0.618 before a distinct threshold box selects inspection.,generated
fig-50-02,50,From a Linear Model to an Artificial Neuron,Gradient descent and the learned linear boundary,Show that optimization reduces binary cross-entropy while one neuron retains a linear representation,loss and boundary plot,publication/figures/source/fig-50-02.py,nrg-ch50-sample,publication/figures/ebook/fig-50-02.png,Figure 50.2. Full-batch gradient descent reduces mean training binary cross-entropy from 0.693 to 0.244 across 900 epochs. The fitted neuron reaches 88.3% training accuracy with a single straight decision boundary; more epochs cannot make one line represent XOR.,The left panel shows binary cross-entropy falling steeply from 0.693 and flattening at 0.244 over 900 epochs. The right panel shows 240 package points by damage label a straight probability-0.50 boundary and gold rings around training errors.,generated
fig-51-01,51,"Layers, Activations, Losses, and Forward Propagation",Forward propagation with explicit tensor shapes,Trace a 32-package batch through a four-input six-hidden-unit three-class dense network,network diagram,publication/figures/source/fig-51-01.py,nrg-ch51-sample,publication/figures/ebook/fig-51-01.png,Figure 51.1. A batch of 32 packages and four features passes through a six-unit ReLU hidden layer and a three-class softmax output. Shapes remain explicit throughout: (32 4) to (32 6) to (32 3). The two dense layers contain 30 and 21 parameters respectively.,Five connected boxes show the input batch dense hidden transformation ReLU output logits and softmax probabilities. Weight and bias shapes appear above the arrows and the 30 plus 21 parameter calculation appears below.,generated
fig-51-02,51,"Layers, Activations, Losses, and Forward Propagation",Four activation functions and their output ranges,Compare identity sigmoid tanh and ReLU transformations across the same preactivation range,activation plots,publication/figures/source/fig-51-02.py,nrg-ch51-sample,publication/figures/ebook/fig-51-02.png,Figure 51.2. Identity preserves unrestricted values; sigmoid maps to zero through one; tanh maps to minus one through one; and ReLU returns zero for negative preactivations and the input for positive values. Nonlinear hidden activations prevent stacked dense layers from collapsing into one linear transformation.,A two-by-two panel plots identity as a straight diagonal sigmoid as an S-curve between zero and one tanh as an S-curve between minus one and one and ReLU as zero before the origin followed by a rising straight line.,generated
fig-52-01,52,"Gradients, Backpropagation, and Optimisation",Forward values and backward gradients,Show the cached two-layer forward graph and the reverse chain-rule path that computes every parameter gradient,computational graph,publication/figures/source/fig-52-01.py,nrg-ch52-sample,publication/figures/ebook/fig-52-01.png,Figure 52.1. Forward propagation caches the hidden tanh activation and output probability. Backpropagation starts with (P minus Y) divided by batch size and applies the chain rule back through the output weights and tanh derivative. For W1 element zero zero the analytical and central finite-difference gradients agree within 7.7e-13.,A teal top row moves from inputs through hidden weighted sum tanh output weighted sum sigmoid and binary cross-entropy. A red lower row reverses direction through output error output-weight gradient hidden error tanh derivative and first-layer gradient.,generated
